#j-A,#j-B,len,#steps,t(ms),fo-S-A,fo-S-B,fo-E-A,fo-E-B,sum-S,sum-E,diff,foN-S-A,foN-S-B,foN-E-A,foN-E-B,max-diff-S,max-diff-E
10,10,10,6,60,461,316,435,386,777,821,44,0.3395904436860068,0.19974059662775617,0.295221843003413,0.2905317769130999,0.13984984705825065,0.004690066090313083
10,25,10,10,224,803,1369,656,1757,2172,2413,241,0.40992366412213743,0.14655839133797371,0.29770992366412213,0.2965970610982212,0.2633652727841637,0.0011128625659009295
10,50,10,15,662,1299,5124,919,6024,6423,6943,520,0.3976923076923077,0.1258917331095258,0.25153846153846154,0.2517834662190516,0.27180057458278184,0.0002450046805900774
10,100,10,20,2821,2091,23962,1365,25631,26053,26996,943,0.3041245651813815,0.10956529469286158,0.18386615868809011,0.1837496666370344,0.1945592704885199,0.00011649205105571103
25,25,10,12,457,2803,2606,2736,2710,5409,5446,37,0.29684481648422406,0.2607419828128275,0.2824640480789869,0.2825403479354433,0.03610283367139655,7.629985645640769e-05
25,50,10,24,1563,3517,6397,3163,7253,9914,10416,502,0.3095938001068947,0.18497737556561086,0.2622928915018707,0.26244343891402716,0.12461642454128383,0.0001505474121564765
25,100,10,33,3419,3015,22386,3354,22173,25401,25527,126,0.16071294840110836,0.19458137639250087,0.18610050175990414,0.1863137057019757,0.0338684279913925,0.0002132039420715548
50,50,10,28,3146,10755,9468,10384,10142,20223,20526,303,0.2990941623797808,0.2427061310782241,0.2783493625587117,0.2783298097251586,0.0563880313015567,1.9552833553093674e-05
50,100,10,45,12859,17785,26343,14906,32562,44128,47468,3340,0.4043369474562135,0.171088322858088,0.3082902418682235,0.3082368508104532,0.2332486245981255,5.3391057770302286e-05
100,100,10,38,15621,39492,36306,38648,37857,75798,76505,707,0.2805529239514254,0.2471785459924396,0.26843797548301895,0.2684216293212075,0.03337437795898579,1.634616181145354e-05
10,10,25,6,39,1175,796,1083,1022,1971,2105,134,0.3554590570719603,0.17958311063602353,0.29838709677419356,0.3003741314804917,0.17587594643593676,0.0019870347062981297
10,25,25,8,172,1994,3633,1615,4487,5627,6102,475,0.41271262309758283,0.15511163337250294,0.2996120561026559,0.2984723854289072,0.2576009897250799,0.001139670673748705
10,50,25,15,685,2482,11030,1836,12879,13512,14715,1203,0.33090185676392575,0.11197979312003849,0.22380636604774537,0.22317777243204234,0.21892206364388728,0.000628593615703027
10,100,25,45,4285,6107,51134,3295,58217,57241,61512,4271,0.40153046491481376,0.06876649076517151,0.1985272884781981,0.19854881266490765,0.33276397414964226,2.1524186709559467e-05
25,25,25,13,403,5780,5235,5665,5517,11015,11182,167,0.275797373358349,0.23794843049327355,0.2644415917843389,0.2642937219730942,0.037848942865075424,0.00014786981124470522
25,50,25,17,1044,10435,16253,9180,19571,26688,28751,2063,0.37682388870037326,0.1908497639544571,0.30584775477887116,0.30602610386003887,0.18597412474591615,0.00017834908116770576
25,100,25,18,3305,12535,63736,11281,66516,76271,77797,1526,0.2616454604270002,0.18806540909220626,0.22784127668751347,0.22773322679147284,0.07358005133479395,0.00010804989604062953
50,50,25,18,1778,25648,23951,25318,24705,49599,50023,424,0.27880572854605545,0.25529156749404963,0.2713864969985836,0.2713150289017341,0.023514161052005822,7.146809684949185e-05
50,100,25,32,7716,33912,68764,31541,74068,102676,105609,2933,0.2880724931811425,0.20889916473233053,0.2574231828229424,0.2573702776305448,0.07917332844881195,5.290519239758984e-05
100,100,25,49,18345,75628,85566,81164,82961,161194,164125,2931,0.21630975684535741,0.264985643049945,0.24895049645055542,0.24896857457313437,0.04867588620458757,1.8078122578951694e-05
10,10,50,9,62,1996,2205,2203,2092,4201,4295,94,0.23030303030303031,0.3305245990758358,0.2963317384370016,0.29980973090513724,0.1002215687728055,0.0034779924681356267
10,25,50,10,172,4161,8389,3542,10101,12550,13643,1093,0.3850379283285378,0.16530383197049864,0.30408056500130787,0.30254930254930257,0.21973409635803914,0.0015312624520052998
10,50,50,7,425,6619,25736,4850,30668,32355,35518,3163,0.40452047372087624,0.1309060819197352,0.26759037077173153,0.26694249069093917,0.273614391801141,0.0006478800807923624
10,100,50,22,3316,10204,107654,6287,116036,117858,122323,4465,0.3318033268461058,0.1056062197528198,0.18797047699482247,0.1878883664313972,0.226197107093286,8.211056342527501e-05
25,25,50,21,537,15436,11477,14405,13862,26913,28267,1354,0.35601114104378795,0.21110338338174528,0.30893566503812614,0.3086773309331915,0.14490775766204267,0.00025833410493464326
25,50,50,10,690,17342,33512,16230,36284,50854,52514,1660,0.29446048109965633,0.2142234865321362,0.2638900343642612,0.2635078673659881,0.08023699456752015,0.0003821669982730924
25,100,50,26,5093,29809,101133,23187,120072,130942,143259,12317,0.35327854046242774,0.13078379499948128,0.25359766377649323,0.25358569353667393,0.22249474546294645,1.1970239819303341e-05
50,50,50,16,2293,42205,40227,41835,40957,82432,82792,360,0.26539308565396996,0.25149737880882117,0.26057154771367885,0.2605874954860722,0.013895706845148792,1.5947772393332116e-05
50,100,50,46,13241,77569,115851,66144,144342,193420,210486,17066,0.37081303885842243,0.16104968396031047,0.28933800195397463,0.2893158776179071,0.20976335489811196,2.21243360675194e-05
100,100,50,22,9312,171074,179121,172319,178582,350195,350901,706,0.24906489725068592,0.25418591701906723,0.2525505347443866,0.2525636202200184,0.0051210197683813075,1.3085475631779975e-05
10,10,100,7,47,2488,3816,3489,3481,6304,6970,666,0.11643948103136804,0.33722766024628986,0.28083429134504845,0.284338490685191,0.22078817921492183,0.0035041993401425664
10,25,100,10,221,9925,20718,8468,23854,30643,32322,1679,0.40973414648587836,0.20481882281965236,0.32346497720409734,0.3230647411485238,0.204915323666226,0.000400236055573544
10,50,100,13,668,13096,55591,9260,65537,68687,74797,6110,0.37862474631075643,0.10308132147395171,0.24667194110969695,0.24669342728427862,0.2755434248368047,2.148617458166968e-05
10,100,100,26,3125,18849,173113,10972,195875,191962,206847,14885,0.33688488132303585,0.07711563592695934,0.17763131292709555,0.17760834245752835,0.2597692453960765,2.2970469567201723e-05
