#j-A,#j-B,len,#steps,t(ms),fo-S-A,fo-S-B,fo-E-A,fo-E-B,sum-S,sum-E,diff,foN-S-A,foN-S-B,foN-E-A,foN-E-B,max-diff-S,max-diff-E
10,10,10,2,28,307,302,304,305,609,609,0,0.25528169014084506,0.24424778761061947,0.25,0.24955752212389382,0.011033902530225598,0.0004424778761061843
25,25,10,9,911,3034,2350,2840,2605,5384,5445,61,0.323923782639379,0.22950506401681636,0.2782874617737003,0.2782342824383719,0.09441871862256263,5.3179335328390476e-05
50,50,10,3,1502,10467,10320,10411,10376,20787,20787,0,0.279281229703399,0.27320085929108484,0.2762502706213466,0.27620837808807736,0.006080370412314184,4.189253326924991e-05
100,100,10,10,27371,43170,41956,42649,42477,85126,85126,0,0.2905349794238683,0.27655596950152894,0.28350536328678405,0.28351293247339393,0.013979009922339358,7.569186609879264e-06
150,150,10,30,257973,87514,93742,90662,90915,181256,181577,321,0.2612892852283831,0.2983661066762973,0.2807571953346279,0.28076314773533917,0.03707682144791424,5.952400711273231e-06
10,10,25,5,60,1025,848,969,923,1873,1892,19,0.30739299610894943,0.22761849034523113,0.2710765239948119,0.27150380339379754,0.0797745057637183,0.00042727939898562495
25,25,25,3,295,6880,6902,6991,6803,13782,13794,12,0.29103357719002065,0.31014517801590047,0.3014443819170887,0.3015900449360525,0.019111600825879815,0.00014566301896379308
50,50,25,21,9099,18681,23561,20646,21901,42242,42547,305,0.2057701424475698,0.29220285743236396,0.2501298056301781,0.2501519910831898,0.08643271498479416,2.2185453011691614e-05
100,100,25,4,10677,93511,94158,93684,93990,187669,187674,5,0.2618022131258153,0.2637224475001699,0.2627749538932122,0.262770994268627,0.001920234374354568,3.959624585214705e-06
150,150,25,49,372836,187692,215295,198648,205426,402987,404074,1087,0.2365710956891748,0.2912535782800787,0.26432044982523684,0.26432198926447753,0.054682482590903886,1.5394392406942181e-06
10,10,50,4,52,2176,1807,2005,2019,3983,4024,41,0.3420018143332325,0.22225725094577553,0.2902933172059268,0.2890920554854981,0.11974456338745698,0.0012012617204287257
25,25,50,4,615,10327,11826,10947,11297,22153,22244,91,0.2298488080883035,0.28463363986947493,0.25860309804285314,0.2584791852071591,0.05478483178117144,0.0001239128356940178
50,50,50,27,11621,49214,33609,43724,40076,82823,83800,977,0.31936732952680974,0.17545496966868876,0.24730590011157053,0.24730573517321067,0.14391235985812098,1.649383598589793e-07
100,100,50,9,24523,177910,179120,175705,181454,357030,357159,129,0.26047571103558376,0.24740276147020793,0.25434297697652036,0.2543406209592319,0.01307294956537583,2.3560172884851127e-06
150,150,50,9,71564,388307,387451,386556,389240,775758,775796,38,0.2548018677107544,0.25016710591020974,0.2525257252198148,0.25252570530559615,0.004634761800544673,1.991421866298637e-08
10,10,100,3,47,3594,4739,4157,4355,8333,8512,179,0.21059046587215602,0.345372460496614,0.28683640303358615,0.2875846501128668,0.134781994624458,0.0007482470792806728
25,25,100,11,1050,24788,16238,22178,20285,41026,42463,1437,0.3470986626872525,0.17659534357620887,0.2721976697468863,0.2719624846828165,0.1705033191110436,0.00023518506406983164
50,50,100,6,2807,88105,86021,86532,87673,174126,174205,79,0.2612153273239829,0.2422498629875855,0.2520910915439854,0.25209092858674675,0.018965464336397397,1.6295723864745426e-07
100,100,100,40,100349,374775,331262,356966,350730,706037,707696,1659,0.2858656941022245,0.23089291922586627,0.2590926106049012,0.25909433306292734,0.05497277487635824,1.7224580261543387e-06
150,150,100,27,214614,820676,741422,784539,782156,1562098,1566695,4597,0.28006045777998767,0.2295937071213851,0.25626129878853937,0.2562596231395264,0.050466750658602566,1.675649012988778e-06
10,10,150,6,73,5253,8580,6765,7314,13833,14079,246,0.18200270635994586,0.4419511167298778,0.30987821380243574,0.3085756426464391,0.25994841036993194,0.0013025711559966346
25,25,150,7,678,31994,34783,33788,33199,66777,66987,210,0.2256515008856901,0.2785827328180938,0.2542808355808053,0.2542445799978489,0.052931231932403705,3.625558295639042e-05
50,50,150,14,6291,126270,102578,118564,111153,228848,229717,869,0.2724652728053845,0.20377114638222846,0.2379797365029357,0.23797632961430915,0.06869412642315606,3.406888626544813e-06
100,100,150,15,42546,601064,561591,580487,583549,1162655,1164036,1381,0.2877776165571342,0.24821369754315573,0.2687604607295778,0.26876038656745466,0.03956391901397846,7.416212316480042e-08
150,150,150,52,388488,1413943,1230916,1358882,1290092,2644859,2648974,4115,0.2936097187023061,0.246585423415247,0.26951730281857766,0.2695175821871969,0.04702429528705912,2.793686192381628e-07
