#j-A,#j-B,len,#steps,t(ms),fo-S-A,fo-S-B,fo-E-A,fo-E-B,sum-S,sum-E,diff_fo,foN-S-A,foN-S-B,foN-E-A,foN-E-B,max-diff-S,max-diff-E
10,10,100,6,49,3600,2987,3539,3199,6587,6738,151,0.24867724867724866,0.20916306921041639,0.23859126984126985,0.2386854198579585,0.03951417946683228,9.415001668863776e-05
20,20,100,11,241,15593,18381,17382,17764,33974,35146,1172,0.24347096341054045,0.32484714127364395,0.3035246727089627,0.302785425680266,0.0813761778631035,0.0007392470286967101
30,30,100,12,700,31850,32885,32379,32683,64735,65062,327,0.25737300891542747,0.2697807757166948,0.26612302959127976,0.2663743676222597,0.012407766801267317,0.0002513380309799307
40,40,100,10,757,56214,55105,55758,56004,111319,111762,443,0.26475382803298,0.2517419944408483,0.2604570082449941,0.26029966112020714,0.01301183359213165,0.00015734712478698842
50,50,100,23,3147,87321,99239,94154,96838,186560,190992,4432,0.23531613450096048,0.28702736333008555,0.2729264251784741,0.27293483747520164,0.05171122882912507,8.412296727544621e-06
60,60,100,42,6147,107383,140459,126073,131485,247842,257558,9716,0.20036465559638383,0.3146166380411327,0.2750950623553073,0.275095785440613,0.11425198244474888,7.230853057427211e-07
70,70,100,20,3871,174038,169336,174880,168897,343374,343777,403,0.2493210429027069,0.2531796149204702,0.25191076827494147,0.25192124128956067,0.0038585720177632954,1.0473014619205578e-05
80,80,100,29,7393,233645,215164,229888,224148,448809,454036,5227,0.2740146941360179,0.24461237944638922,0.26500296233398335,0.2649944756896313,0.0294023146896287,8.486644352045936e-06
90,90,100,43,12782,284827,254626,279194,267153,539453,546347,6894,0.26838043838469916,0.2347304031400327,0.25726893275892,0.25727464308402753,0.03365003524466645,5.710325107544101e-06
100,100,100,86,28078,272682,386815,342109,359313,659497,701422,41925,0.17629002856057274,0.31886613772193,0.2750879799407158,0.27509370598206256,0.14257610916135727,5.726041346743038e-06
150,150,100,69,52968,757031,829783,799419,811291,1586814,1610710,23896,0.2398169143929224,0.27961632811888854,0.2672396448268612,0.267252497738446,0.039799413725966126,1.2852911584815274e-05
