#j-A,#j-B,len,#steps,t(ms),fo-S-A,fo-S-B,fo-E-A,fo-E-B,sum-S,sum-E,diff_fo,foN-S-A,foN-S-B,foN-E-A,foN-E-B,max-diff-S,max-diff-E
10,10,100,3,45,3600,2987,3478,3127,6587,6605,18,0.24867724867724866,0.20916306921041639,0.22850529100529102,0.2286589611474725,0.03951417946683228,0.00015367014218148345
20,20,100,7,403,15593,18381,16845,17276,33974,34121,147,0.24347096341054045,0.32484714127364395,0.2854984894259819,0.2853362891979833,0.0813761778631035,0.0001622002279985657
30,30,100,5,764,31850,32885,32235,32524,64735,64759,24,0.25737300891542747,0.2697807757166948,0.26374117141108555,0.26369308600337266,0.012407766801267317,4.808540771289449e-05
40,40,100,4,3155,56214,55105,55533,55797,111319,111330,11,0.26475382803298,0.2517419944408483,0.25833686690223795,0.25832920839203444,0.01301183359213165,7.658510203512048e-06
50,50,100,9,4543,87321,99239,92176,94980,186560,187156,596,0.23531613450096048,0.28702736333008555,0.2620390909241024,0.26202941763414606,0.05171122882912507,9.673289956324549e-06
60,60,100,30,28206,107383,140459,122056,127829,247842,249885,2043,0.20036465559638383,0.3146166380411327,0.25903342276458524,0.25899502356101645,0.11425198244474888,3.8399203568795226e-05
70,70,100,4,3971,174038,169336,174698,168700,343374,343398,24,0.2493210429027069,0.2531796149204702,0.25135099390707133,0.25135654970575844,0.0038585720177632954,5.555798687106872e-06
80,80,100,14,20663,233645,215164,227808,221954,448809,449762,953,0.2740146941360179,0.24461237944638922,0.2600137682567324,0.26001692458125275,0.0294023146896287,3.1563245203591883e-06
90,90,100,19,37047,284827,254626,277016,264763,539453,541779,2326,0.26838043838469916,0.2347304031400327,0.25297266802379714,0.25297347492994854,0.03365003524466645,8.06906151396003e-07
100,100,100,35,91510,272682,386815,324757,343795,659497,668552,9055,0.17629002856057274,0.31886613772193,0.2503952515735353,0.250395116943474,0.14257610916135727,1.3463006132141686e-07
150,150,100,25,194369,757031,829783,788767,800966,1586814,1589733,2919,0.2398169143929224,0.27961632811888854,0.26034838020993384,0.26034915852808105,0.039799413725966126,7.783181472098555e-07
